post_id,post_url,username_or_userid,published_date,published_date2,time,reaction_count.count,comment_rendering_instance.comments.total_count,share_count.count,sub_reactions,context,video_view_count
388475844072372,https://www.facebook.com/388475844072372,KaiCenatOfficial,2024-04-01 11:01:12,2024-04-01,1711969272,9057,152,96,"{'讚': 7984, '大心': 894, '哈': 116, '加油': 56, '哇': 5, '怒': 2, '嗚': '0'}",Kai Cenat Get's Sturdy With Tyla #comedy #kaicenat #viralreelsfb #reelsfb,105526
385393337713956,https://www.facebook.com/385393337713956,KaiCenatOfficial,2024-03-31 16:00:39,2024-03-31,1711900839,1313,44,39,"{'讚': 851, '哈': 443, '大心': 12, '怒': 3, '加油': 2, '哇': 2, '嗚': '0'}","Druski Plays ""What's In The Box?"" 😱",17746
387206327532657,https://www.facebook.com/387206327532657,KaiCenatOfficial,2024-03-30 12:01:06,2024-03-30,1711800066,7838,165,71,"{'讚': 6229, '哈': 1421, '大心': 131, '嗚': 24, '加油': 23, '哇': 10, '怒': '0'}",Kai Cenat Asks Tyla Out On A Date 😍 #viralreelsfb #comedy #kaicenat #reelsfb,86078
385387707714519,https://www.facebook.com/385387707714519,KaiCenatOfficial,2024-03-29 17:01:39,2024-03-29,1711731699,1031,50,15,"{'讚': 784, '哈': 203, '大心': 34, '哇': 7, '加油': 2, '嗚': 1, '怒': '0'}",Chunkz Gets Hypnotised 😱,14532
384078261178797,https://www.facebook.com/384078261178797,KaiCenatOfficial,2024-03-28 17:00:21,2024-03-28,1711645221,2611,77,45,"{'讚': 1921, '哈': 483, '大心': 187, '加油': 15, '哇': 5, '怒': '0', '嗚': '0'}",Trying The New Ice Spice Drink 😳,126164
384077754512181,https://www.facebook.com/384077754512181,KaiCenatOfficial,2024-03-27 17:04:45,2024-03-27,1711559085,1281,58,18,"{'讚': 860, '哈': 388, '大心': 28, '加油': 3, '哇': 2, '怒': '0', '嗚': '0'}",This was wilddddddd 😱,28856
384077447845545,https://www.facebook.com/384077447845545,KaiCenatOfficial,2024-03-26 17:06:27,2024-03-26,1711472787,2801,68,42,"{'讚': 2112, '哈': 580, '大心': 90, '加油': 15, '哇': 3, '嗚': 1, '怒': '0'}",24 hours with Speed in Miami 😱,657758
382211034698853,https://www.facebook.com/382211034698853,KaiCenatOfficial,2024-03-25 17:00:54,2024-03-25,1711386054,7582,125,107,"{'讚': 5984, '哈': 1340, '大心': 212, '加油': 31, '哇': 15, '怒': '0', '嗚': '0'}",Name something cooler - you won't...,1796365
382210738032216,https://www.facebook.com/382210738032216,KaiCenatOfficial,2024-03-24 17:02:15,2024-03-24,1711299735,5982,72,40,"{'讚': 5383, '大心': 394, '哈': 172, '加油': 24, '哇': 8, '嗚': 1, '怒': '0'}",What is she into? 👀,560628
382210324698924,https://www.facebook.com/382210324698924,KaiCenatOfficial,2024-03-23 17:03:57,2024-03-23,1711213437,30801,443,272,"{'讚': 27351, '哈': 2488, '大心': 803, '哇': 81, '加油': 77, '怒': 1, '嗚': '0'}","Mr Beast sent me this $15,000 Ironman suit 🤯",1489599
382209024699054,https://www.facebook.com/382209024699054,KaiCenatOfficial,2024-03-22 17:16:14,2024-03-22,1711127774,1817,63,18,"{'讚': 1518, '哈': 169, '大心': 118, '加油': 10, '哇': 2, '怒': '0', '嗚': '0'}",W rizz?,225852
377538618499428,https://www.facebook.com/377538618499428,KaiCenatOfficial,2024-03-21 17:03:16,2024-03-21,1711040596,66523,227,351,"{'讚': 60284, '哈': 4956, '大心': 1105, '加油': 99, '哇': 74, '嗚': 3, '怒': 2}",They really sent that 🤣,1965250
377539365166020,https://www.facebook.com/377539365166020,KaiCenatOfficial,2024-03-20 17:02:19,2024-03-20,1710954139,2807,76,24,"{'讚': 1841, '哈': 915, '大心': 37, '哇': 7, '加油': 6, '嗚': 1, '怒': '0'}",Imagine this was your daughter though 🤔,89915
377539221832701,https://www.facebook.com/377539221832701,KaiCenatOfficial,2024-03-19 17:05:47,2024-03-19,1710867947,6234,151,77,"{'讚': 4703, '哈': 1322, '大心': 169, '加油': 27, '哇': 12, '嗚': 1, '怒': '0'}",How did she do that?! 🤯,162859
377539035166053,https://www.facebook.com/377539035166053,KaiCenatOfficial,2024-03-18 17:02:59,2024-03-18,1710781379,12022,223,182,"{'讚': 8665, '哈': 3204, '大心': 131, '加油': 17, '哇': 5, '怒': '0', '嗚': '0'}",Things got wildddddd 😂,3302193
377538415166115,https://www.facebook.com/377538415166115,KaiCenatOfficial,2024-03-17 17:00:56,2024-03-17,1710694856,8599,225,138,"{'讚': 5870, '哈': 1531, '大心': 1114, '加油': 75, '哇': 9, '怒': '0', '嗚': '0'}",Had to call mama after this 🤩,698995
378762535043703,https://www.facebook.com/378762535043703,KaiCenatOfficial,2024-03-16 12:00:32,2024-03-16,1710590432,21837,331,124,"{'讚': 19205, '哈': 2024, '大心': 550, '加油': 46, '哇': 8, '嗚': 3, '怒': 1}",Just lemme record 😂 #comedy #viralreelsfb #reelsfb #kaicenat,319493
376513615268595,https://www.facebook.com/376513615268595,KaiCenatOfficial,2024-03-15 17:00:01,2024-03-15,1710522001,2110,88,21,"{'讚': 1618, '哈': 446, '大心': 37, '哇': 5, '加油': 4, '怒': '0', '嗚': '0'}",Drip or No Drip ? 🤔,24102
376510885268868,https://www.facebook.com/376510885268868,KaiCenatOfficial,2024-03-14 17:00:22,2024-03-14,1710435622,2616,85,20,"{'讚': 2256, '大心': 295, '哈': 36, '加油': 24, '哇': 5, '怒': '0', '嗚': '0'}",AMP Meets Beta Squad 😱,24472
374259032160720,https://www.facebook.com/374259032160720,KaiCenatOfficial,2024-03-13 17:00:22,2024-03-13,1710349222,4235,110,36,"{'讚': 3546, '大心': 549, '哈': 106, '加油': 28, '哇': 6, '怒': '0', '嗚': '0'}",24 Hours In Vegas WIth Kai Cenat 😍,39899
374253468827943,https://www.facebook.com/374253468827943,KaiCenatOfficial,2024-03-12 17:00:33,2024-03-12,1710262833,49194,338,375,"{'讚': 43113, '哈': 4208, '大心': 1689, '加油': 156, '哇': 27, '嗚': 1, '怒': '0'}",Kai Cenat X Nicki Minaj 😳,2138181
375917768661513,https://www.facebook.com/375917768661513,KaiCenatOfficial,2024-03-11 12:00:43,2024-03-11,1710158443,7394,169,165,"{'讚': 6036, '哈': 1258, '大心': 84, '加油': 10, '哇': 6, '怒': '0', '嗚': '0'}",The chair made it personal 😂 #viralreelsfb #kaicenat #comedy #reelsfb,117776
375366335383323,https://www.facebook.com/375366335383323,KaiCenatOfficial,2024-03-10 12:00:39,2024-03-10,1710072039,5026,135,125,"{'讚': 3284, '哈': 1694, '大心': 38, '哇': 5, '加油': 4, '嗚': 1, '怒': '0'}",I needed a napkin bro 😂 #reelsfb #comedy #viralreelsfb #kaicenat,73405
373598938893396,https://www.facebook.com/373598938893396,KaiCenatOfficial,2024-03-09 17:02:01,2024-03-09,1710003721,4572,55,41,"{'讚': 3211, '哈': 1307, '大心': 47, '哇': 4, '加油': 3, '怒': '0', '嗚': '0'}",What was i thinking yoooo 😱,73898
373598545560102,https://www.facebook.com/373598545560102,KaiCenatOfficial,2024-03-08 17:04:38,2024-03-08,1709917478,4083,87,189,"{'讚': 2562, '哈': 1432, '大心': 72, '哇': 9, '加油': 8, '怒': '0', '嗚': '0'}","Ladies, you are heroes 😱",93998
373660675553889,https://www.facebook.com/373660675553889,KaiCenatOfficial,2024-03-07 12:00:30,2024-03-07,1709812830,5791,110,69,"{'讚': 5011, '哈': 608, '大心': 146, '加油': 19, '哇': 7, '怒': '0', '嗚': '0'}",Kai Cenat's Best Pickup Line 😮‍💨 #comedy #reelsfb #viralreelsfb #kaicenat,122435
368667666053190,https://www.facebook.com/368667666053190,KaiCenatOfficial,2024-03-06 17:00:37,2024-03-06,1709744437,1961,39,21,"{'讚': 1499, '哈': 276, '大心': 168, '加油': 12, '哇': 6, '怒': '0', '嗚': '0'}",Nah this was too wild... 😱,1424441
372532802333343,https://www.facebook.com/372532802333343,KaiCenatOfficial,2024-03-05 12:00:45,2024-03-05,1709640045,6516,33,28,"{'讚': 6192, '大心': 183, '哈': 124, '加油': 10, '哇': 7, '怒': '0', '嗚': '0'}",Half Court Shot For Sneakers #reelsfb #viralreelsfb #kaicenat #comedy,56218
368665106053446,https://www.facebook.com/368665106053446,KaiCenatOfficial,2024-03-04 17:00:00,2024-03-04,1709571600,4767,55,88,"{'讚': 3329, '哈': 1364, '大心': 61, '加油': 6, '哇': 6, '嗚': 1, '怒': '0'}",These are a gamechanger 😱,56997
368664076053549,https://www.facebook.com/368664076053549,KaiCenatOfficial,2024-03-03 17:00:00,2024-03-03,1709485200,2374,150,84,"{'哈': 1181, '讚': 1130, '大心': 47, '加油': 6, '哇': 6, '嗚': 3, '怒': 1}",We brought a SNAKE to the house 😱,25765
368019829451307,https://www.facebook.com/368019829451307,KaiCenatOfficial,2024-03-02 17:00:00,2024-03-02,1709398800,2620,42,32,"{'讚': 1989, '哈': 385, '大心': 229, '加油': 12, '哇': 4, '嗚': 1, '怒': '0'}",Kai Cenat Stars In An NBA All Star Game 😱,35653
370275875892369,https://www.facebook.com/370275875892369,KaiCenatOfficial,2024-03-01 12:00:57,2024-03-01,1709294457,2674,39,17,"{'讚': 2339, '哈': 285, '大心': 43, '加油': 5, '哇': 2, '怒': '0', '嗚': '0'}",Short Kings Forever #kaicenat #reelsfb #viralreelsfb #comedy,49567
369728209280469,https://www.facebook.com/369728209280469,KaiCenatOfficial,2024-02-29 12:00:51,2024-02-29,1709208051,33106,311,400,"{'讚': 29483, '哈': 3021, '大心': 512, '哇': 46, '加油': 44, '怒': '0', '嗚': '0'}",This maks is crazy 😱 #kaicenat #comedy #reelsfb #viralreelsfb,373614
366346242951999,https://www.facebook.com/366346242951999,KaiCenatOfficial,2024-02-28 17:00:32,2024-02-28,1709139632,1017,25,19,"{'讚': 702, '哈': 289, '大心': 21, '加油': 4, '怒': 1, '哇': '0', '嗚': '0'}",Rizz don't land in Japan 😂,233656
366345799618710,https://www.facebook.com/366345799618710,KaiCenatOfficial,2024-02-27 17:00:25,2024-02-27,1709053225,1989,48,65,"{'讚': 1103, '哈': 799, '大心': 71, '加油': 13, '哇': 1, '嗚': 1, '怒': 1}",Rate his rizz... 👀😂,453211
366344439618846,https://www.facebook.com/366344439618846,KaiCenatOfficial,2024-02-26 17:00:14,2024-02-26,1708966814,3195,98,181,"{'哈': 1916, '讚': 1207, '大心': 57, '哇': 10, '加油': 5, '怒': '0', '嗚': '0'}",Ain't no way i'm allowed this 😂,355151
366344196285537,https://www.facebook.com/366344196285537,KaiCenatOfficial,2024-02-25 17:00:35,2024-02-25,1708880435,9912,39,51,"{'讚': 9024, '哈': 549, '大心': 308, '加油': 16, '哇': 15, '怒': '0', '嗚': '0'}",Why y'all send me the weirdest things 😂,2494437
366343849618905,https://www.facebook.com/366343849618905,KaiCenatOfficial,2024-02-24 17:00:41,2024-02-24,1708794041,874,32,17,"{'讚': 567, '哈': 218, '大心': 84, '加油': 2, '哇': 2, '嗚': 1, '怒': '0'}",I was made for this game 😳,29352
361924596727497,https://www.facebook.com/361924596727497,KaiCenatOfficial,2024-02-23 17:00:02,2024-02-23,1708707602,9112,140,96,"{'讚': 6849, '哈': 1600, '大心': 601, '加油': 52, '哇': 10, '怒': '0', '嗚': '0'}",Y'all rate the grills? 🤔,121411
361924010060889,https://www.facebook.com/361924010060889,KaiCenatOfficial,2024-02-22 17:00:01,2024-02-22,1708621201,8469,89,83,"{'讚': 7874, '哈': 471, '大心': 104, '哇': 12, '加油': 6, '嗚': 1, '怒': 1}",They were fake all along? 😱,144000
361923200060970,https://www.facebook.com/361923200060970,KaiCenatOfficial,2024-02-21 17:00:00,2024-02-21,1708534800,1305,33,12,"{'讚': 1008, '哈': 226, '大心': 68, '加油': 3, '怒': '0', '哇': '0', '嗚': '0'}",Is she right tho? 😳,26378
364711806448776,https://www.facebook.com/364711806448776,KaiCenatOfficial,2024-02-20 12:00:21,2024-02-20,1708430421,115328,1049,3508,"{'讚': 100294, '哈': 13807, '大心': 1062, '加油': 95, '哇': 64, '嗚': 5, '怒': 1}",We are down bad 😂 #viralreelsfb #reelsfb #kaicenat #comedy,1225742
361919873394636,https://www.facebook.com/361919873394636,KaiCenatOfficial,2024-02-19 17:00:00,2024-02-19,1708362000,1590,46,55,"{'讚': 868, '哈': 691, '大心': 28, '哇': 2, '加油': 1, '怒': '0', '嗚': '0'}",What's In The Box Challenge With 21 Savage 😱,22170
357978060455484,https://www.facebook.com/357978060455484,KaiCenatOfficial,2024-02-16 17:00:27,2024-02-16,1708102827,2357,36,67,"{'讚': 1508, '哈': 543, '大心': 290, '加油': 14, '哇': 2, '怒': '0', '嗚': '0'}",Kai Cenat's Best Moments With Celebrities 😂,843504
