post_id,post_url,username_or_userid,published_date,published_date2,time,reaction_count.count,comment_rendering_instance.comments.total_count,share_count.count,sub_reactions,context,video_view_count
979955253489571,https://www.facebook.com/979955253489571,love.yuweishao,2024-03-31 14:21:47,2024-03-31,1711894907,4612,25,14,"{'讚': 4424, '大心': 157, '加油': 25, '哇': 4, '哈': 2, '怒': '0', '嗚': '0'}","大概兩個多星期的時間，既快又慢。
完成了非常多任務，南北跑了好多趟。
經常睡倒在高鐵上、計程車上、劇組車上，
像夢一樣，
一切都是為了自己這一趟的旅程。

今天送了阿姨最後一程後，
有人說，
你遇見的每個人都一定跟你有很深的緣份，
所以在經過了無數次的道別、想念以後，
會再見面的，
從哪出發，到哪停留又在哪結束，
在這既快又慢的人生裡像夢一樣，
但最終會再見的。
想念妳",
979192260232537,https://www.facebook.com/979192260232537,love.yuweishao,2024-03-30 08:42:14,2024-03-30,1711788134,10010,83,21,"{'讚': 9783, '大心': 215, '加油': 8, '哈': 2, '哇': 1, '嗚': 1, '怒': '0'}","商魂今晚最後一次與大家訴說當年的故事，
感謝所有幕前幕後的團隊，
播出後遇到的朋友都告訴我好喜歡商魂，
這是靠大家團結努力與才華。
謝謝雪玉這麼可愛溫暖，
照耀了我讓我有溫度去照耀身旁的人。

人生有各種不同的選擇，
每選一種就會發生不同的故事，
而這是林燈先生的故事，也是我們的故事☺️
希望你們能開心收看。

雪玉下台一鞠躬
下次見👋",
978746280277135,https://www.facebook.com/978746280277135,love.yuweishao,2024-03-29 14:06:43,2024-03-29,1711721203,3571,46,22,"{'讚': 3239, '大心': 319, '加油': 7, '哇': 5, '哈': 1, '怒': '0', '嗚': '0'}","我的自信，曼黛瑪璉。

拍攝廣告那天，是個有趣的體驗，
每個人都告訴我，「妳好棒」。
給了我很多鼓勵與歡笑，
那個就像一種集體信念聚集在一起而強大，
當天的我的確超級有自信，甚至延燒了好幾天，
在其他的工作也都展現了無比的自信，
因為過於自信所以就算很喜歡長版廣告，但是現在看有點太害羞。
過幾天吧，等戲殺青再給大家看長版。
謝謝宇宙給我了如此強壯的能量☺️

謝謝 @modemarie_tw",20498.0
977254610426302,https://www.facebook.com/977254610426302,love.yuweishao,2024-03-27 00:51:49,2024-03-27,1711500709,10215,71,16,"{'讚': 9953, '大心': 247, '加油': 11, '哇': 3, '哈': 1, '怒': '0', '嗚': '0'}","各位美少女、美少年早安。

☀️おはようございます",
976438447174585,https://www.facebook.com/976438447174585,love.yuweishao,2024-03-25 13:41:35,2024-03-25,1711374095,3926,37,17,"{'讚': 3741, '大心': 93, '哈': 86, '加油': 3, '哇': 3, '怒': '0', '嗚': '0'}","大家好我們是山王工業，
我們準備稱霸忠孝東路四段了！",146070.0
975713260580437,https://www.facebook.com/975713260580437,love.yuweishao,2024-03-24 07:43:04,2024-03-24,1711266184,17591,137,24,"{'讚': 17272, '大心': 303, '加油': 8, '哈': 4, '哇': 3, '怒': 1, '嗚': '0'}","2024/03/23
是妹妹28歲生日、
是姊姊、姊夫新房驗屋日、
是國際狗狗日、
也是商魂倒數第二集的播出日。
一個都沒有少參與☺️
珍惜擁有的，祝福遇見的。",
975241503960946,https://www.facebook.com/975241503960946,love.yuweishao,2024-03-23 12:04:03,2024-03-23,1711195443,5142,49,19,"{'讚': 4971, '大心': 167, '加油': 4, '哈': '0', '怒': '0', '哇': '0', '嗚': '0'}","平凡即是幸福。

#商魂
#倒數兩集",
975084333976663,https://www.facebook.com/975084333976663,love.yuweishao,2024-03-22 11:24:39,2024-03-22,1711106679,1115,22,7,"{'讚': 1044, '大心': 68, '加油': 3, '哈': '0', '怒': '0', '哇': '0', '嗚': '0'}","🔴 《商魂》第六集焦點 🔴 
​
關關難過關關過！這次林燈要怎麼解套？
倒數兩集，越來越激烈的商戰，華泥的未來會走向何方？
​
先來看看本週焦點：
➞ 被武田控制的倉庫，林燈這次怎麼解？
➞ 失意的林燈來到雅美的西裝店，當晚會發生什麼事？
➞ 看雪玉發揮！沒想到最後竟然是這招？
​
​
➟➟《商魂》播出資訊
❚ 中華電信 MOD / Hami Video 
每週六 20:00 播出一集 隨選隨看 ​ ★前 2 集免費
​
❚ 民視無線台 
每週六 20:00 連播兩集
20:00 重播
21:00 播出新集數
​
❚ 三立台灣台
每週五 22:15 跟播
​
​
💰💰💰
​
《#商魂》𝕋ℝ𝔸𝔻𝔼 𝕎𝔸ℝ
♦︎ 2024 台灣商戰旗艦大戲
​
#傅孟柏、#李國毅、#邵雨薇
#市原隼人、#田中千繪、#周曉涵
#喜翔、#朱德剛、#林在培、#徐鈞浩",
974683540683409,https://www.facebook.com/974683540683409,love.yuweishao,2024-03-22 14:14:09,2024-03-22,1711116849,7431,128,13,"{'讚': 7230, '大心': 190, '哈': 6, '加油': 4, '哇': 1, '怒': '0', '嗚': '0'}","這趟來好像更喜歡台南了
東西好吃，天氣極好，生活感十足☀️
久違的喊出了好熱，我愛夏天❤️

#來金來號倒數計時",
973917767426653,https://www.facebook.com/973917767426653,love.yuweishao,2024-03-21 05:59:24,2024-03-21,1711000764,2988,50,10,"{'讚': 2681, '大心': 256, '加油': 23, '哈': 13, '哇': 9, '嗚': 6, '怒': '0'}",I wanna hold your hand😎,15104.0
